"path","freq","age","sex","indexYear"
"None",3,"0-10","female","1961"
"None",3,"0-10","female","1964"
"None",3,"0-10","female","1971"
"None",3,"0-10","female","1976"
"None",3,"0-10","female","1977"
"None",3,"0-10","female","1983"
"None",3,"0-10","male","1974"
"None",3,"0-10","male","1986"
"None",3,"10-20","female","1977"
"None",3,"10-20","female","1987"
"None",3,"20-30","female","1994"
"None",3,"20-30","male","1988"
"None",3,"20-30","male","1994"
"None",3,"20-30","male","2003"
"None",3,"20-30","male","2008"
"acetaminophen",3,"0-10","female","1959"
"acetaminophen",3,"0-10","female","1960"
"acetaminophen",3,"0-10","female","1963"
"acetaminophen",3,"0-10","female","1967"
"acetaminophen",3,"0-10","female","1975"
"acetaminophen",3,"0-10","female","1976"
"acetaminophen",3,"0-10","female","1979"
"acetaminophen",3,"0-10","female","1980"
"acetaminophen",3,"0-10","female","1982"
"acetaminophen",3,"0-10","female","1988"
"acetaminophen",3,"0-10","male","1952"
"acetaminophen",3,"0-10","male","1953"
"acetaminophen",3,"0-10","male","1957"
"acetaminophen",3,"0-10","male","1970"
"acetaminophen",3,"0-10","male","1972"
"acetaminophen",3,"0-10","male","1973"
"acetaminophen",3,"0-10","male","1976"
"acetaminophen",3,"0-10","male","1977"
"acetaminophen",3,"0-10","male","1978"
"acetaminophen",3,"0-10","male","1982"
"acetaminophen",3,"10-20","female","1973"
"acetaminophen",3,"10-20","female","1981"
"acetaminophen",3,"10-20","female","1986"
"acetaminophen",3,"10-20","female","1989"
"acetaminophen",3,"10-20","female","1990"
"acetaminophen",3,"10-20","female","1993"
"acetaminophen",3,"10-20","male","1967"
"acetaminophen",3,"10-20","male","1969"
"acetaminophen",3,"10-20","male","1974"
"acetaminophen",3,"10-20","male","1994"
"acetaminophen",3,"10-20","male","1995"
"acetaminophen",3,"20-30","female","1969"
"acetaminophen",3,"30-40","female","1994"
"acetaminophen",3,"30-40","male","1979"
"acetaminophen",3,"40-50","female","1994"
"acetaminophen+amoxicillin",3,"0-10","female","1982"
"acetaminophen+amoxicillin",3,"0-10","male","1979"
"acetaminophen+amoxicillin",3,"0-10","male","1982"
"acetaminophen+amoxicillin-aspirin",3,"0-10","male","1983"
"acetaminophen+amoxicillin-aspirin-clavulanate",3,"0-10","female","1983"
"acetaminophen+amoxicillin-aspirin-clavulanate-doxylamine",3,"0-10","female","1980"
"acetaminophen+amoxicillin-aspirin-penicillinv",3,"0-10","female","1980"
"acetaminophen+amoxicillin-aspirin-penicillinv-clavulanate",3,"0-10","female","1985"
"acetaminophen+amoxicillin-clavulanate",3,"0-10","female","1976"
"acetaminophen+amoxicillin-clavulanate",3,"0-10","female","1983"
"acetaminophen+amoxicillin-clavulanate",3,"0-10","male","1980"
"acetaminophen+amoxicillin-clavulanate",3,"10-20","male","1979"
