"pathway","freq","age","sex","index_year","analysis_id"
"None",5,"0-10","female","1950",1
"None",5,"0-10","female","1955",1
"None",5,"0-10","female","1958",1
"None",5,"0-10","female","1959",1
"None",5,"0-10","female","1961",1
"None",5,"0-10","female","1962",1
"None",5,"0-10","female","1964",1
"None",5,"0-10","female","1965",1
"None",5,"0-10","female","1966",1
"None",5,"0-10","female","1969",1
"None",5,"0-10","female","1971",1
"None",5,"0-10","female","1972",1
"None",5,"0-10","female","1973",1
"None",5,"0-10","female","1974",1
"None",5,"0-10","female","1975",1
"None",5,"0-10","female","1976",1
"None",5,"0-10","female","1977",1
"None",5,"0-10","female","1978",1
"None",5,"0-10","female","1979",1
"None",5,"0-10","female","1980",1
"None",5,"0-10","female","1981",1
"None",5,"0-10","female","1982",1
"None",5,"0-10","female","1983",1
"None",5,"0-10","female","1984",1
"None",5,"0-10","female","1985",1
"None",5,"0-10","female","1987",1
"None",5,"0-10","female","1989",1
"None",5,"0-10","male","1950",1
"None",5,"0-10","male","1952",1
"None",5,"0-10","male","1954",1
"None",5,"0-10","male","1955",1
"None",5,"0-10","male","1958",1
"None",5,"0-10","male","1959",1
"None",5,"0-10","male","1961",1
"None",5,"0-10","male","1963",1
"None",5,"0-10","male","1964",1
"None",5,"0-10","male","1967",1
"None",5,"0-10","male","1968",1
"None",5,"0-10","male","1969",1
"None",5,"0-10","male","1971",1
"None",5,"0-10","male","1972",1
"None",5,"0-10","male","1973",1
"None",5,"0-10","male","1974",1
"None",5,"0-10","male","1975",1
"None",5,"0-10","male","1976",1
"None",5,"0-10","male","1977",1
"None",5,"0-10","male","1978",1
"None",5,"0-10","male","1979",1
"None",5,"0-10","male","1980",1
"None",5,"0-10","male","1981",1
"None",5,"0-10","male","1982",1
"None",5,"0-10","male","1985",1
"None",5,"0-10","male","1986",1
"None",5,"0-10","male","1987",1
"None",5,"0-10","male","1988",1
"None",5,"0-10","male","1990",1
"None",5,"10-20","female","1964",1
"None",5,"10-20","female","1968",1
"None",5,"10-20","female","1975",1
"None",5,"10-20","female","1977",1
"None",5,"10-20","female","1982",1
"None",5,"10-20","female","1984",1
"None",5,"10-20","female","1987",1
"None",5,"10-20","female","1989",1
"None",5,"10-20","female","1990",1
"None",5,"10-20","female","1997",1
"None",5,"10-20","male","1964",1
"None",5,"10-20","male","1978",1
"None",5,"10-20","male","1980",1
"None",5,"10-20","male","1983",1
"None",5,"10-20","male","1990",1
"None",5,"10-20","male","1994",1
"None",5,"10-20","male","1995",1
"None",5,"20-30","female","1969",1
"None",5,"20-30","female","1977",1
"None",5,"20-30","female","1987",1
"None",5,"20-30","female","1994",1
"None",5,"20-30","female","1995",1
"None",5,"20-30","male","1988",1
"None",5,"20-30","male","1994",1
"None",5,"20-30","male","2003",1
"None",5,"20-30","male","2008",1
"acetaminophen",5,"0-10","female","1950",1
"acetaminophen",5,"0-10","female","1952",1
"acetaminophen",5,"0-10","female","1955",1
"acetaminophen",5,"0-10","female","1956",1
"acetaminophen",5,"0-10","female","1957",1
"acetaminophen",5,"0-10","female","1958",1
"acetaminophen",5,"0-10","female","1959",1
"acetaminophen",5,"0-10","female","1960",1
"acetaminophen",5,"0-10","female","1961",1
"acetaminophen",5,"0-10","female","1962",1
"acetaminophen",5,"0-10","female","1963",1
"acetaminophen",5,"0-10","female","1964",1
"acetaminophen",5,"0-10","female","1965",1
"acetaminophen",5,"0-10","female","1966",1
"acetaminophen",5,"0-10","female","1967",1
"acetaminophen",5,"0-10","female","1968",1
"acetaminophen",5,"0-10","female","1969",1
"acetaminophen",5,"0-10","female","1970",1
"acetaminophen",5,"0-10","female","1971",1
"acetaminophen",5,"0-10","female","1972",1
"acetaminophen",5,"0-10","female","1973",1
"acetaminophen",5,"0-10","female","1974",1
"acetaminophen",5,"0-10","female","1975",1
"acetaminophen",5,"0-10","female","1976",1
"acetaminophen",5,"0-10","female","1977",1
"acetaminophen",5,"0-10","female","1978",1
"acetaminophen",5,"0-10","female","1979",1
"acetaminophen",5,"0-10","female","1980",1
"acetaminophen",5,"0-10","female","1981",1
"acetaminophen",5,"0-10","female","1982",1
"acetaminophen",5,"0-10","female","1983",1
"acetaminophen",5,"0-10","female","1984",1
"acetaminophen",5,"0-10","female","1986",1
